whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1222.mbinfo.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx
A0A023PXA5	1	1	uniprotkb	559292	0	1	0	0	0	1	1	0	reviewed	189	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	21605	NA	NA	1 out of 5	Uncertain	SwissProt_and_IMEX
A0A023PXB0	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12092	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXB5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11193	NA	NA	2 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXB9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	13391	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXC2	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12414	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXC7	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	143	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	15999	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXD3	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11926	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXD5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	14885	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXD9	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	11665	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A0A023PXE5	1	1	0	0	0	0	0	0	0	0	1	0	reviewed	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	12357	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
