whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	Protein.names	whole_proteome_Uniprot_IMEx
A5A605	1	1	0	0	0	0	0	0	0	1	reviewed	159	Escherichia coli (strain K12)	83333	18118	NA		2 out of 5	Predicted	Uncharacterized protein YkfM	SwissProt_not_IMEX
A5A607	1	1	0	0	0	0	0	0	0	1	reviewed	64	Escherichia coli (strain K12)	83333	7521	NA		1 out of 5	Predicted	Uncharacterized protein YlcI	SwissProt_not_IMEX
A5A611	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	6518	NA		1 out of 5	Predicted	Uncharacterized protein YmgI	SwissProt_not_IMEX
A5A612	1	1	0	0	0	0	0	0	0	1	reviewed	61	Escherichia coli (strain K12)	83333	7362	NA		1 out of 5	Predicted	Uncharacterized protein YmgJ	SwissProt_not_IMEX
A5A613	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	7102	NA		1 out of 5	Inferred from homology	Uncharacterized protein YciY	SwissProt_not_IMEX
A5A614	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	6441	NA		1 out of 5	Inferred from homology	UPF0509 protein YciZ	SwissProt_not_IMEX
A5A615	1	1	0	0	0	0	0	0	0	0	reviewed	31	Escherichia coli (strain K12)	83333	3538	NA		2 out of 5	Evidence at protein level	Uncharacterized protein YncL	SwissProt_not_IMEX
A5A616	1	1	0	0	0	0	0	0	0	0	reviewed	31	Escherichia coli (strain K12)	83333	3509	NA		2 out of 5	Evidence at protein level	Uncharacterized protein YneM	SwissProt_not_IMEX
A5A617	1	1	0	0	0	0	0	0	0	0	reviewed	27	Escherichia coli (strain K12)	83333	3236	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YdgU	SwissProt_not_IMEX
A5A618	1	1	0	0	0	0	0	0	0	0	reviewed	29	Escherichia coli (strain K12)	83333	2998	NA		3 out of 5	Evidence at protein level	Uncharacterized protein YnhF	SwissProt_not_IMEX
A5A619	1	1	0	0	0	0	0	0	0	1	reviewed	54	Escherichia coli (strain K12)	83333	6218	NA		1 out of 5	Inferred from homology	Uncharacterized protein YojO	SwissProt_not_IMEX
A5A621	1	1	0	0	0	0	0	0	0	0	reviewed	19	Escherichia coli (strain K12)	83333	2408	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YpfM	SwissProt_not_IMEX
A5A624	1	1	0	0	0	0	0	0	0	1	reviewed	27	Escherichia coli (strain K12)	83333	3021	NA		2 out of 5	Evidence at transcript level	Uncharacterized protein DinQ	SwissProt_not_IMEX
A5A625	1	1	0	0	0	0	0	0	0	1	reviewed	111	Escherichia coli (strain K12)	83333	12340	NA		1 out of 5	Uncertain	Putative uncharacterized protein YibV	SwissProt_not_IMEX
A5A627	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3222	NA		4 out of 5	Evidence at transcript level	Small toxic protein TisB (LexA-regulated protein TisB)	SwissProt_not_IMEX
A5A628	1	1	0	0	0	0	0	0	0	1	reviewed	92	Escherichia coli (strain K12)	83333	10049	NA		1 out of 5	Inferred from homology	Uncharacterized protein YjbT	SwissProt_not_IMEX
A5A630	1	1	0	0	0	0	0	0	0	1	reviewed	91	Escherichia coli (strain K12)	83333	10257	NA		2 out of 5	Inferred from homology	Uncharacterized protein YtcA	SwissProt_not_IMEX
A8DYP9	1	1	0	0	0	0	0	0	0	0	reviewed	28	Escherichia coli (strain K12)	83333	3109	NA		2 out of 5	Evidence at protein level	Fur leader peptide	SwissProt_not_IMEX
A8DYQ1	1	1	0	0	0	0	0	0	0	0	reviewed	41	Escherichia coli (strain K12)	83333	4779	NA		2 out of 5	Evidence at protein level	Uncharacterized protein YthA	SwissProt_not_IMEX
C1P5Z7	1	1	0	0	0	0	0	0	0	0	reviewed	43	Escherichia coli (strain K12)	83333	5338	NA		2 out of 5	Evidence at protein level	Putative inhibitor of glucose uptake transporter SgrT	SwissProt_not_IMEX
C1P5Z8	1	1	0	0	0	0	0	0	0	0	reviewed	33	Escherichia coli (strain K12)	83333	3999	NA		2 out of 5	Evidence at protein level	Uncharacterized membrane protein YkgR	SwissProt_not_IMEX
C1P5Z9	1	1	0	0	0	0	0	0	0	1	reviewed	34	Escherichia coli (strain K12)	83333	4122	NA		1 out of 5	Predicted	Putative protein YmiB	SwissProt_not_IMEX
C1P600	1	1	0	0	0	0	0	0	0	0	reviewed	21	Escherichia coli (strain K12)	83333	2657	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YnbG	SwissProt_not_IMEX
C1P601	1	1	0	0	0	0	0	0	0	1	reviewed	84	Escherichia coli (strain K12)	83333	9463	NA		2 out of 5	Inferred from homology	Putative lipoprotein RzoQ	SwissProt_not_IMEX
C1P602	1	1	0	0	0	0	0	0	0	0	reviewed	32	Escherichia coli (strain K12)	83333	3458	NA		2 out of 5	Evidence at protein level	Uncharacterized membrane protein YoaK	SwissProt_not_IMEX
C1P603	1	1	0	0	0	0	0	0	0	0	reviewed	24	Escherichia coli (strain K12)	83333	2691	NA		2 out of 5	Evidence at protein level	Uncharacterized protein YoaJ	SwissProt_not_IMEX
C1P604	1	1	0	0	0	0	0	0	0	0	reviewed	21	Escherichia coli (strain K12)	83333	2665	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YobI	SwissProt_not_IMEX
C1P605	1	1	0	0	0	0	0	0	0	0	reviewed	28	Escherichia coli (strain K12)	83333	3408	NA		1 out of 5	Evidence at protein level	Uncharacterized protein AzuC	SwissProt_not_IMEX
C1P606	1	1	0	0	0	0	0	0	0	0	reviewed	20	Escherichia coli (strain K12)	83333	2242	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YoeI	SwissProt_not_IMEX
C1P607	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2232	NA		3 out of 5	Evidence at transcript level	Small toxic protein IbsA	SwissProt_not_IMEX
C1P608	1	1	0	0	0	0	0	0	0	1	reviewed	18	Escherichia coli (strain K12)	83333	2064	NA		2 out of 5	Inferred from homology	Small toxic protein IbsB	SwissProt_not_IMEX
C1P609	1	1	0	0	0	0	0	0	0	0	reviewed	27	Escherichia coli (strain K12)	83333	3092	NA		2 out of 5	Evidence at protein level	Uncharacterized membrane protein YohP	SwissProt_not_IMEX
C1P610	1	1	0	0	0	0	0	0	0	0	reviewed	23	Escherichia coli (strain K12)	83333	2704	NA		2 out of 5	Evidence at protein level	Uncharacterized membrane protein YpdK	SwissProt_not_IMEX
C1P611	1	1	0	0	0	0	0	0	0	1	reviewed	26	Escherichia coli (strain K12)	83333	3103	NA		2 out of 5	Evidence at transcript level	Small toxic protein ShoB	SwissProt_not_IMEX
C1P612	1	1	0	0	0	0	0	0	0	0	reviewed	46	Escherichia coli (strain K12)	83333	5383	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YqcG	SwissProt_not_IMEX
C1P613	1	1	0	0	0	0	0	0	0	0	reviewed	26	Escherichia coli (strain K12)	83333	3203	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YqeL	SwissProt_not_IMEX
C1P614	1	1	0	0	0	0	0	0	0	0	reviewed	41	Escherichia coli (strain K12)	83333	4791	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YqfG	SwissProt_not_IMEX
C1P615	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2209	NA		3 out of 5	Evidence at transcript level	Small toxic protein IbsC	SwissProt_not_IMEX
C1P616	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2151	NA		3 out of 5	Inferred from homology	Small toxic protein IbsD	SwissProt_not_IMEX
C1P617	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2207	NA		3 out of 5	Evidence at transcript level	Small toxic protein IbsE	SwissProt_not_IMEX
C1P618	1	1	0	0	0	0	0	0	0	0	reviewed	26	Escherichia coli (strain K12)	83333	2979	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YrbN	SwissProt_not_IMEX
C1P619	1	1	0	0	0	0	0	0	0	0	reviewed	16	Escherichia coli (strain K12)	83333	1910	NA		1 out of 5	Evidence at protein level	Uncharacterized protein IlvX	SwissProt_not_IMEX
C1P620	1	1	0	0	0	0	0	0	0	0	reviewed	36	Escherichia coli (strain K12)	83333	3618	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YshB	SwissProt_not_IMEX
C1P621	1	1	0	0	0	0	0	0	0	0	reviewed	17	Escherichia coli (strain K12)	83333	2056	NA		1 out of 5	Evidence at protein level	Uncharacterized protein YjeV	SwissProt_not_IMEX
E2JKY7	1	1	0	0	0	0	0	0	0	1	reviewed	17	Escherichia coli (strain K12)	83333	2123	NA		1 out of 5	Inferred from homology	MgtA leader peptide (Regulatory leader peptide for mgtA)	SwissProt_not_IMEX
G3MTW7	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3465	NA		2 out of 5	Predicted	Putative membrane protein PmrR	SwissProt_not_IMEX
O32528	1	1	uniprotkb	83333	1	0	0	0	1	1	reviewed	91	Escherichia coli (strain K12)	83333	10162	NA		2 out of 5	Inferred from homology	Uncharacterized lipoprotein YpdI	SwissProt_and_IMEX
O32583	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	66	Escherichia coli (strain K12)	83333	7311	NA		4 out of 5	Evidence at protein level	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	SwissProt_and_IMEX
O52982	1	1	0	0	0	0	0	0	0	0	reviewed	147	Escherichia coli (strain K12)	83333	16735	NA		3 out of 5	Evidence at protein level	Lipoprotein YfjS	SwissProt_not_IMEX
P00350	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	468	Escherichia coli (strain K12)	83333	51481	NA		5 out of 5	Evidence at protein level	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	SwissProt_and_IMEX
P00363	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	602	Escherichia coli (strain K12)	83333	65972	NA		5 out of 5	Evidence at protein level	Fumarate reductase flavoprotein subunit (EC 1.3.5.4)	SwissProt_and_IMEX
P00370	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	447	Escherichia coli (strain K12)	83333	48581	NA		5 out of 5	Evidence at protein level	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	SwissProt_and_IMEX
P00393	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	434	Escherichia coli (strain K12)	83333	47359	NA		5 out of 5	Evidence at protein level	NADH dehydrogenase (EC 1.6.99.3)	SwissProt_and_IMEX
P00448	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	206	Escherichia coli (strain K12)	83333	23097	NA		5 out of 5	Evidence at protein level	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	SwissProt_and_IMEX
P00452	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	761	Escherichia coli (strain K12)	83333	85775	NA	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2;  Name=Alpha; IsoId=P00452-1; Sequence=Displayed; Name=Alpha'; IsoId=P00452-2; Sequence=VSP_018871, VSP_018872; 	5 out of 5	Evidence at protein level	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	SwissProt_and_IMEX
P00490	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	797	Escherichia coli (strain K12)	83333	90522	NA		5 out of 5	Evidence at protein level	Maltodextrin phosphorylase (EC 2.4.1.1)	SwissProt_and_IMEX
P00509	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	396	Escherichia coli (strain K12)	83333	43573	NA		5 out of 5	Evidence at protein level	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	SwissProt_and_IMEX
P00547	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	310	Escherichia coli (strain K12)	83333	33624	NA		4 out of 5	Evidence at protein level	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	SwissProt_and_IMEX
P00550	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	637	Escherichia coli (strain K12)	83333	67972	NA		5 out of 5	Evidence at protein level	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.197) (PTS system mannitol-specific EIIA component)]	SwissProt_and_IMEX
P00561	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	820	Escherichia coli (strain K12)	83333	89120	NA		5 out of 5	Evidence at protein level	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	SwissProt_and_IMEX
P00562	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	810	Escherichia coli (strain K12)	83333	88888	NA		5 out of 5	Evidence at protein level	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	SwissProt_and_IMEX
P00579	1	1	uniprotkb	83333	1	0	0	1	1	0	reviewed	613	Escherichia coli (strain K12)	83333	70263	NA		5 out of 5	Evidence at protein level	RNA polymerase sigma factor RpoD (Sigma-70)	SwissProt_and_IMEX
P00582	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	928	Escherichia coli (strain K12)	83333	103118	NA		5 out of 5	Evidence at protein level	DNA polymerase I (POL I) (EC 2.7.7.7)	SwissProt_and_IMEX
P00634	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	471	Escherichia coli (strain K12)	83333	49439	NA		5 out of 5	Evidence at protein level	Alkaline phosphatase (APase) (EC 3.1.3.1)	SwissProt_and_IMEX
P00722	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	1024	Escherichia coli (strain K12)	83333	116483	NA		5 out of 5	Evidence at protein level	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	SwissProt_and_IMEX
P00803	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	324	Escherichia coli (strain K12)	83333	35960	NA		5 out of 5	Evidence at protein level	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	SwissProt_and_IMEX
P00804	1	1	0	0	0	0	0	0	0	0	reviewed	164	Escherichia coli (strain K12)	83333	18156	NA		4 out of 5	Evidence at protein level	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	SwissProt_not_IMEX
P00805	1	1	uniprotkb	83333	1	1	0	0	1	0	reviewed	348	Escherichia coli (strain K12)	83333	36851	NA		5 out of 5	Evidence at protein level	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	SwissProt_and_IMEX
P00811	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	377	Escherichia coli (strain K12)	83333	41556	NA		5 out of 5	Evidence at protein level	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)	SwissProt_and_IMEX
P00816	1	1	uniprotkb	83333	1	0	0	0	1	0	reviewed	156	Escherichia coli (strain K12)	83333	17049	NA		4 out of 5	Evidence at protein level	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	SwissProt_and_IMEX
