whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx	two_hybrid	all_protein_complementation	AP_MS	two_hybrid_vs_AP_MS
A5A605	1	1	0	0	0	0	0	0	0	1	reviewed	159	Escherichia coli (strain K12)	83333	18118	0	0	2 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A607	1	1	0	0	0	0	0	0	0	1	reviewed	64	Escherichia coli (strain K12)	83333	7521	0	0	1 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A611	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	6518	0	0	1 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A612	1	1	0	0	0	0	0	0	0	1	reviewed	61	Escherichia coli (strain K12)	83333	7362	0	0	1 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A613	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	7102	0	0	1 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A614	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	6441	0	0	1 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A615	1	1	0	0	0	0	0	0	0	0	reviewed	31	Escherichia coli (strain K12)	83333	3538	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A616	1	1	0	0	0	0	0	0	0	0	reviewed	31	Escherichia coli (strain K12)	83333	3509	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A617	1	1	0	0	0	0	0	0	0	0	reviewed	27	Escherichia coli (strain K12)	83333	3236	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A618	1	1	0	0	0	0	0	0	0	0	reviewed	29	Escherichia coli (strain K12)	83333	2998	0	0	3 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A619	1	1	0	0	0	0	0	0	0	1	reviewed	54	Escherichia coli (strain K12)	83333	6218	0	0	1 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A621	1	1	0	0	0	0	0	0	0	0	reviewed	19	Escherichia coli (strain K12)	83333	2408	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A624	1	1	0	0	0	0	0	0	0	1	reviewed	27	Escherichia coli (strain K12)	83333	3021	0	0	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A625	1	1	0	0	0	0	0	0	0	1	reviewed	111	Escherichia coli (strain K12)	83333	12340	0	0	1 out of 5	Uncertain	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A627	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3222	0	0	4 out of 5	Evidence at transcript level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A628	1	1	0	0	0	0	0	0	0	1	reviewed	92	Escherichia coli (strain K12)	83333	10049	0	0	1 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A5A630	1	1	0	0	0	0	0	0	0	1	reviewed	91	Escherichia coli (strain K12)	83333	10257	0	0	2 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A8DYP9	1	1	0	0	0	0	0	0	0	0	reviewed	28	Escherichia coli (strain K12)	83333	3109	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
A8DYQ1	1	1	0	0	0	0	0	0	0	0	reviewed	41	Escherichia coli (strain K12)	83333	4779	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P5Z7	1	1	0	0	0	0	0	0	0	0	reviewed	43	Escherichia coli (strain K12)	83333	5338	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P5Z8	1	1	0	0	0	0	0	0	0	0	reviewed	33	Escherichia coli (strain K12)	83333	3999	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P5Z9	1	1	0	0	0	0	0	0	0	1	reviewed	34	Escherichia coli (strain K12)	83333	4122	0	0	1 out of 5	Predicted	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P600	1	1	0	0	0	0	0	0	0	0	reviewed	21	Escherichia coli (strain K12)	83333	2657	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P601	1	1	0	0	0	0	0	0	0	1	reviewed	84	Escherichia coli (strain K12)	83333	9463	0	0	2 out of 5	Inferred from homology	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P602	1	1	0	0	0	0	0	0	0	0	reviewed	32	Escherichia coli (strain K12)	83333	3458	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P603	1	1	0	0	0	0	0	0	0	0	reviewed	24	Escherichia coli (strain K12)	83333	2691	0	0	2 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
C1P604	1	1	0	0	0	0	0	0	0	0	reviewed	21	Escherichia coli (strain K12)	83333	2665	0	0	1 out of 5	Evidence at protein level	SwissProt_not_IMEX	0	0	0	not_in_IMEx
