whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	Protein.names	whole_proteome_Uniprot_IMEx	two_hybrid	all_protein_complementation	AP_MS	two_hybrid_vs_AP_MS
A5A605	1	1	0	0	0	0	0	0	0	1	reviewed	159	Escherichia coli (strain K12)	83333	18118	0		2 out of 5	Predicted	Uncharacterized protein YkfM	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A607	1	1	0	0	0	0	0	0	0	1	reviewed	64	Escherichia coli (strain K12)	83333	7521	0		1 out of 5	Predicted	Uncharacterized protein YlcI	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A611	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	6518	0		1 out of 5	Predicted	Uncharacterized protein YmgI	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A612	1	1	0	0	0	0	0	0	0	1	reviewed	61	Escherichia coli (strain K12)	83333	7362	0		1 out of 5	Predicted	Uncharacterized protein YmgJ	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A613	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	7102	0		1 out of 5	Inferred from homology	Uncharacterized protein YciY	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A614	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	6441	0		1 out of 5	Inferred from homology	UPF0509 protein YciZ	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A615	1	1	0	0	0	0	0	0	0	0	reviewed	31	Escherichia coli (strain K12)	83333	3538	0		2 out of 5	Evidence at protein level	Uncharacterized protein YncL	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A616	1	1	0	0	0	0	0	0	0	0	reviewed	31	Escherichia coli (strain K12)	83333	3509	0		2 out of 5	Evidence at protein level	Uncharacterized protein YneM	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A617	1	1	0	0	0	0	0	0	0	0	reviewed	27	Escherichia coli (strain K12)	83333	3236	0		1 out of 5	Evidence at protein level	Uncharacterized protein YdgU	SwissProt_not_IMEX	0	0	0	not in IMEx
A5A618	1	1	0	0	0	0	0	0	0	0	reviewed	29	Escherichia coli (strain K12)	83333	2998	0		3 out of 5	Evidence at protein level	Uncharacterized protein YnhF	SwissProt_not_IMEX	0	0	0	not in IMEx
