whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X0974.InnateDB.	X1222.mbinfo.	X1262.I2D.	X1263.Molecular.Connections.	X1332.bhf.ucl.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx
A0A0B4J1F4	1	1	uniprotkb	10090	1	0	0	0	0	0	0	0	0	0	1	1	0	reviewed	415	Mus musculus (Mouse)	10090	44970	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2;  Name=1; IsoId=A0A0B4J1F4-1; Sequence=Displayed; Name=2; IsoId=A0A0B4J1F4-2; Sequence=VSP_058000, VSP_058001; 	3 out of 5	Evidence at transcript level	SwissProt_and_IMEX
A0AUP1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	442	Mus musculus (Mouse)	10090	52777	NA	NA	1 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A0AUV4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	508	Mus musculus (Mouse)	10090	57058	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A0JLX3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	433	Mus musculus (Mouse)	10090	48904	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A0JLY1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	547	Mus musculus (Mouse)	10090	65132	NA	NA	1 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A0JNT9	1	1	uniprotkb	10090	0	1	0	0	0	0	0	0	0	0	1	0	1	reviewed	577	Mus musculus (Mouse)	10090	65287	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3;  Name=1; IsoId=A0JNT9-1; Sequence=Displayed; Name=2; IsoId=A0JNT9-2; Sequence=VSP_027971, VSP_027973; Note=No experimental confirmation available.; Name=3; IsoId=A0JNT9-3; Sequence=VSP_027970, VSP_027972, VSP_027974, VSP_027975; Note=No experimental confirmation available.; 	5 out of 5	Evidence at protein level	SwissProt_and_IMEX
A0JNU3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	564	Mus musculus (Mouse)	10090	60595	NA	NA	4 out of 5	Evidence at protein level	SwissProt_not_IMEX
A0JP43	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	reviewed	1406	Mus musculus (Mouse)	10090	159935	NA	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3;  Name=1; IsoId=A0JP43-1; Sequence=Displayed; Name=2; IsoId=A0JP43-2; Sequence=VSP_030736, VSP_030737; Note=No experimental confirmation available.; Name=3; IsoId=A0JP43-3; Sequence=VSP_030738; Note=No experimental confirmation available.; 	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A0PJN4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	161	Mus musculus (Mouse)	10090	18364	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A0PK84	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	reviewed	263	Mus musculus (Mouse)	10090	29318	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
