whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	IMEx	missing_protein_evidence	Status	Length	Organism	Organism.ID	Mass	Cross.reference..dbSNP.	Alternative.products..isoforms.	Annotation	Protein.existence	whole_proteome_Uniprot_IMEx
A5A605	1	1	0	0	0	0	0	0	0	1	reviewed	159	Escherichia coli (strain K12)	83333	18118	NA	NA	2 out of 5	Predicted	SwissProt_not_IMEX
A5A607	1	1	0	0	0	0	0	0	0	1	reviewed	64	Escherichia coli (strain K12)	83333	7521	NA	NA	1 out of 5	Predicted	SwissProt_not_IMEX
A5A611	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	6518	NA	NA	1 out of 5	Predicted	SwissProt_not_IMEX
A5A612	1	1	0	0	0	0	0	0	0	1	reviewed	61	Escherichia coli (strain K12)	83333	7362	NA	NA	1 out of 5	Predicted	SwissProt_not_IMEX
A5A613	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	7102	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
A5A614	1	1	0	0	0	0	0	0	0	1	reviewed	57	Escherichia coli (strain K12)	83333	6441	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
A5A615	1	1	0	0	0	0	0	0	0	0	reviewed	31	Escherichia coli (strain K12)	83333	3538	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A5A616	1	1	0	0	0	0	0	0	0	0	reviewed	31	Escherichia coli (strain K12)	83333	3509	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A5A617	1	1	0	0	0	0	0	0	0	0	reviewed	27	Escherichia coli (strain K12)	83333	3236	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
A5A618	1	1	0	0	0	0	0	0	0	0	reviewed	29	Escherichia coli (strain K12)	83333	2998	NA	NA	3 out of 5	Evidence at protein level	SwissProt_not_IMEX
A5A619	1	1	0	0	0	0	0	0	0	1	reviewed	54	Escherichia coli (strain K12)	83333	6218	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
A5A621	1	1	0	0	0	0	0	0	0	0	reviewed	19	Escherichia coli (strain K12)	83333	2408	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
A5A624	1	1	0	0	0	0	0	0	0	1	reviewed	27	Escherichia coli (strain K12)	83333	3021	NA	NA	2 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A5A625	1	1	0	0	0	0	0	0	0	1	reviewed	111	Escherichia coli (strain K12)	83333	12340	NA	NA	1 out of 5	Uncertain	SwissProt_not_IMEX
A5A627	1	1	0	0	0	0	0	0	0	1	reviewed	29	Escherichia coli (strain K12)	83333	3222	NA	NA	4 out of 5	Evidence at transcript level	SwissProt_not_IMEX
A5A628	1	1	0	0	0	0	0	0	0	1	reviewed	92	Escherichia coli (strain K12)	83333	10049	NA	NA	1 out of 5	Inferred from homology	SwissProt_not_IMEX
A5A630	1	1	0	0	0	0	0	0	0	1	reviewed	91	Escherichia coli (strain K12)	83333	10257	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
A8DYP9	1	1	0	0	0	0	0	0	0	0	reviewed	28	Escherichia coli (strain K12)	83333	3109	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
A8DYQ1	1	1	0	0	0	0	0	0	0	0	reviewed	41	Escherichia coli (strain K12)	83333	4779	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P5Z7	1	1	0	0	0	0	0	0	0	0	reviewed	43	Escherichia coli (strain K12)	83333	5338	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P5Z8	1	1	0	0	0	0	0	0	0	0	reviewed	33	Escherichia coli (strain K12)	83333	3999	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P5Z9	1	1	0	0	0	0	0	0	0	1	reviewed	34	Escherichia coli (strain K12)	83333	4122	NA	NA	1 out of 5	Predicted	SwissProt_not_IMEX
C1P600	1	1	0	0	0	0	0	0	0	0	reviewed	21	Escherichia coli (strain K12)	83333	2657	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P601	1	1	0	0	0	0	0	0	0	1	reviewed	84	Escherichia coli (strain K12)	83333	9463	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
C1P602	1	1	0	0	0	0	0	0	0	0	reviewed	32	Escherichia coli (strain K12)	83333	3458	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P603	1	1	0	0	0	0	0	0	0	0	reviewed	24	Escherichia coli (strain K12)	83333	2691	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P604	1	1	0	0	0	0	0	0	0	0	reviewed	21	Escherichia coli (strain K12)	83333	2665	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P605	1	1	0	0	0	0	0	0	0	0	reviewed	28	Escherichia coli (strain K12)	83333	3408	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P606	1	1	0	0	0	0	0	0	0	0	reviewed	20	Escherichia coli (strain K12)	83333	2242	NA	NA	1 out of 5	Evidence at protein level	SwissProt_not_IMEX
C1P607	1	1	0	0	0	0	0	0	0	1	reviewed	19	Escherichia coli (strain K12)	83333	2232	NA	NA	3 out of 5	Evidence at transcript level	SwissProt_not_IMEX
C1P608	1	1	0	0	0	0	0	0	0	1	reviewed	18	Escherichia coli (strain K12)	83333	2064	NA	NA	2 out of 5	Inferred from homology	SwissProt_not_IMEX
C1P609	1	1	0	0	0	0	0	0	0	0	reviewed	27	Escherichia coli (strain K12)	83333	3092	NA	NA	2 out of 5	Evidence at protein level	SwissProt_not_IMEX
